date,title,wikiSlug,content,link
0301,Coronation Preparations of Rama I,Phutthayotfa_Chulalok,"In March 1782, preparations began for the coronation of King Rama I, the founder of the Chakri Dynasty. This moment marked the birth of Bangkok as the new capital and the restoration of royal ceremonies that still shape the Thai monarchy today.",https://en.wikipedia.org/wiki/Phutthayotfa_Chulalok
0302,The Giant Swing Ceremony,Sao_Chingcha,"The Giant Swing in Bangkok once hosted a dramatic Brahmin ceremony reenacting the Hindu myth of cosmic creation. Priests swung high above the ground to symbolize divine movement, reflecting the strong influence of Hindu rituals in early Thai royal traditions.",https://en.wikipedia.org/wiki/Giant_Swing
0303,Thai National Elephant Day,Thai_Elephant_Day,"March 13 is Thai National Elephant Day, established in 1998 to raise awareness about elephant conservation. Elephants have long played important roles in Thai warfare, logging, royal ceremonies, and national identity.",https://en.wikipedia.org/wiki/Elephant#Thailand
0304,Traditional Benjarong Porcelain,Benjarong,"Benjarong porcelain, meaning 'five colors,' is a traditional Thai ceramic style known for its intricate hand-painted designs. Historically reserved for the royal court, it reflects Ayutthaya’s cultural exchange and trade connections with Ming-era China.",https://en.wikipedia.org/wiki/Benjarong
0305,The Founding of Thammasat University,Thammasat_University,"Founded in 1934 by Pridi Banomyong, Thammasat University was created to promote education in law, politics, and civic responsibility. Over time it became a symbolic center of student activism and democratic movements in modern Thai history.",https://en.wikipedia.org/wiki/Thammasat_University
0306,Khon Masked Dance,Khon,"Khon is Thailand’s most prestigious classical dance drama, traditionally performed in the royal court. Dancers wear elaborate masks and costumes to portray characters from the Ramakien, Thailand’s adaptation of the Indian Ramayana epic.",https://en.wikipedia.org/wiki/Khon
0307,The Birth of Sunthorn Phu,Sunthorn_Phu,"Sunthorn Phu, born in 1786, is widely regarded as Thailand’s greatest poet. His epic work 'Phra Aphai Mani' blends adventure, romance, and mythology, and remains a cornerstone of Thai literary heritage.",https://en.wikipedia.org/wiki/Sunthorn_Phu
0308,Thai Women in History,Suriyothai,"Queen Suriyothai is remembered for sacrificing her life in battle during a 16th-century conflict between Ayutthaya and Burma. Her story has become a powerful symbol of courage, loyalty, and national pride in Thai history.",https://en.wikipedia.org/wiki/Suriyothai
0309,Wat Saket and the Golden Mount,Wat_Saket,"Wat Saket’s Golden Mount is one of Bangkok’s most iconic temple landmarks. Built during the early Rattanakosin period, the hilltop shrine offers both spiritual pilgrimage and panoramic views of the old city.",https://en.wikipedia.org/wiki/Wat_Saket
0310,Thai Royal Barges,Royal_Barge_Procession,"The Royal Barge Procession is one of Thailand’s most magnificent ceremonial traditions. Dating back to the Ayutthaya era, the elaborately carved barges symbolize royal authority and the sacred relationship between the monarchy and the river.",https://en.wikipedia.org/wiki/Royal_Barge_Procession
0311,Thai Amulets Culture,Thai_Buddha_amulet,"Thai Buddhist amulets are widely believed to offer protection, good fortune, and spiritual power. Some rare amulets are highly sought after by collectors and can be valued at millions of baht.",https://en.wikipedia.org/wiki/Thai_Buddha_amulet
0312,The Ramkhamhaeng Inscription,King_Ramkhamhaeng_Inscription,"The Ramkhamhaeng inscription is considered the earliest known example of the Thai writing system. It provides valuable insight into the culture, governance, and daily life of the Sukhothai Kingdom.",https://en.wikipedia.org/wiki/King_Ramkhamhaeng_Inscription
0313,National Elephant Day,Thai_Elephant_Day,"Thailand celebrates National Elephant Day to honor the country’s most iconic animal. The event promotes conservation awareness and highlights the deep cultural bond between Thai society and elephants.",https://en.wikipedia.org/wiki/Elephant#Thailand
0314,The Thai Meteorological Department,Thai_Meteorological_Department,"Established in 1942, the Thai Meteorological Department monitors weather patterns across the country. Its forecasts play a vital role in agriculture, aviation, and disaster preparedness, especially during monsoon seasons.",https://en.wikipedia.org/wiki/Thai_Meteorological_Department
0315,Thai Traditional Puppetry,Hun_Krabuang,"Hun Krabok is a traditional Thai puppet theater combining music, storytelling, and skilled puppeteering. The performances often draw from folklore and classical literature, bringing historical stories to life.",https://en.wikipedia.org/wiki/Hun_krabok
0316,Bangkok National Museum,Bangkok_National_Museum,"The Bangkok National Museum is the largest museum in Southeast Asia. Originally the palace of the viceroy, it now houses an extensive collection of Thai art, royal artifacts, and archaeological treasures.",https://en.wikipedia.org/wiki/Bangkok_National_Museum
0317,Thai Lottery Culture,Thai_Government_Lottery,"The Thai government lottery is more than gambling—it is a cultural phenomenon. Many people choose numbers based on dreams, spiritual beliefs, or lucky signs believed to bring fortune.",https://en.wikipedia.org/wiki/Thai_Government_Lottery
0318,Erawan National Park,Erawan_National_Park,"Erawan National Park is famous for its seven-tiered emerald waterfalls surrounded by lush jungle. The park showcases Thailand’s natural beauty and is one of the country’s most beloved national parks.",https://en.wikipedia.org/wiki/Erawan_National_Park
0319,The Emerald Triangle,Golden_Triangle_(Southeast_Asia),"The Golden Triangle, where Thailand, Laos, and Myanmar meet, was once one of the world’s largest opium-producing regions. Today it has transformed into a cultural and historical tourism destination.",https://en.wikipedia.org/wiki/Golden_Triangle_(Southeast_Asia)
0320,Thai Astrology,Thai_astrology,"Traditional Thai astrology combines Buddhist, Hindu, and local beliefs. It influences decisions such as wedding dates, business openings, and other important life events.",https://en.wikipedia.org/wiki/Thai_astrology
0321,Wat Pho and Traditional Medicine,Wat_Pho,"Wat Pho is famous as the birthplace of traditional Thai massage and one of Thailand’s earliest medical learning centers. Its temple grounds contain stone inscriptions describing ancient healing knowledge.",https://en.wikipedia.org/wiki/Wat_Pho
0322,Thai Shadow Play,Nang_Talung,"Nang Talung is a southern Thai shadow puppet theater performed with intricately carved leather figures. The performances mix mythology, comedy, and improvised dialogue.",https://en.wikipedia.org/wiki/Nang_talung
0323,The Chao Phraya River,Chao_Phraya_River,"The Chao Phraya River, often called the River of Kings, flows through the heart of Thailand. It played a central role in the development of Ayutthaya and later Bangkok.",https://en.wikipedia.org/wiki/Chao_Phraya_River
0324,Thai Long-tail Boats,Long-tail_boat,"Long-tail boats are iconic symbols of Thailand’s waterways and coastal life. Their simple design and powerful engines make them ideal for navigating rivers, canals, and shallow waters.",https://en.wikipedia.org/wiki/Long-tail_boat
0325,King Mongkut and Science,Mongkut,"King Mongkut, also known as Rama IV, was a scholar-king who introduced Western science and education to Siam. He famously predicted a solar eclipse in 1868 with remarkable scientific accuracy.",https://en.wikipedia.org/wiki/Mongkut
0326,Thai Railway History,State_Railway_of_Thailand,"Thailand’s first railway opened in 1897 between Bangkok and Ayutthaya. It marked the beginning of modern transportation and helped connect regions across the country.",https://en.wikipedia.org/wiki/State_Railway_of_Thailand
0327,The Dusit Palace,Dusit_Palace,"Dusit Palace was built by King Rama V as part of his modernization vision for Siam. Inspired by European architecture, it reflected the country’s shift toward global engagement.",https://en.wikipedia.org/wiki/Dusit_Palace
0328,Thai School Uniforms,School_uniforms_in_Thailand,"School uniforms are widely worn in Thailand and symbolize discipline, equality, and national identity. They are also part of broader social expectations about order and respect.",https://en.wikipedia.org/wiki/School_uniforms_in_Thailand
0329,The Jim Thompson House,Jim_Thompson_House,"The Jim Thompson House is a famous museum showcasing traditional Thai architecture and art. Thompson’s efforts helped revive the Thai silk industry and introduced it to global markets.",https://en.wikipedia.org/wiki/Jim_Thompson_House
0330,Thai Film Industry,Thai_cinema,"Thai cinema has gained international recognition for its unique blend of folklore, horror, and social storytelling. Directors and filmmakers often draw inspiration from traditional myths and modern society.",https://en.wikipedia.org/wiki/Cinema_of_Thailand
0331,Wat Benchamabophit,Wat_Benchamabophit,"Wat Benchamabophit, also known as the Marble Temple, is one of Bangkok’s most elegant royal temples. Built with Italian Carrara marble, it blends traditional Thai architecture with modern royal symbolism.",https://en.wikipedia.org/wiki/Wat_Benchamabophit
